Feature,Importance
C_S_kappa_max_std,0.0013081852578420204
O_C_H_min,0.001302940113834927
H_S_volume_median,0.0012994749244676427
H_S_kappa_max_min,0.00129772703788857
H_N_K_max,0.0012976103816117197
H_N_H_min,0.0012959387573124456
O_N_kappa_max_std,0.0012958924415840995
C_S_H_mean,0.001290325187340463
C_N_K_std,0.0012893285245644088
C_N_kappa_min_std,0.0012885878966343602
H_O_kappa_max_min,0.0012884181104344547
S_C_kappa_max_sum,0.001286057976926987
O_N_H_median,0.001284528398411026
O_C_kappa_max_std,0.001284337081969941
H_O_K_std,0.0012821283311582681
O_N_K_min,0.0012758179196939324
N_N_kappa_max_min,0.0012746554261509877
O_C_surface_area_median,0.0012715026397180516
O_C_volume_mean,0.0012663523093974602
H_C_H_std,0.0012639130955291015
O_N_H_max,0.0012636902325662864
N_N_kappa_min_max,0.0012633530023651298
N_N_kappa_max_sum,0.0012592155294574587
N_O_K_min,0.0012582500774318086
C_O_H_median,0.0012569936187600606
C_O_surface_area_mean,0.0012568969887748753
N_S_surface_area_median,0.0012564718282340244
O_C_K_std,0.0012521430430568533
H_C_K_std,0.0012494699540263401
O_C_kappa_max_median,0.0012476594851843208
C_S_K_min,0.0012472926541183802
N_N_H_mean,0.0012416456709387804
N_O_surface_area_sum,0.0012405321027789465
O_O_H_mean,0.0012372496814844912
H_N_H_sum,0.0012367161115542096
C_C_surface_area_mean,0.0012358772903443202
O_C_surface_area_max,0.0012358736951555344
O_O_volume_std,0.0012357241479316959
C_N_kappa_min_mean,0.0012339426990847183
H_O_kappa_min_sum,0.0012330095381243474
C_S_kappa_max_median,0.001229041876173387
H_O_surface_area_mean,0.0012283631130912374
H_O_H_min,0.0012278451923757431
H_S_kappa_max_mean,0.0012272705600871376
N_C_kappa_min_median,0.001227248624394038
O_N_kappa_min_mean,0.0012261535523737965
H_N_H_median,0.0012243274530332807
C_N_kappa_max_std,0.0012237655098296897
H_N_K_min,0.0012233105650483241
N_O_volume_max,0.001220676180141205
O_C_kappa_min_mean,0.001220272439089654
H_S_kappa_max_median,0.0012179021373838687
H_N_kappa_min_mean,0.0012156051712890724
N_O_surface_area_median,0.0012149945243018663
H_N_kappa_max_min,0.0012137001677962952
O_N_K_max,0.0012135266760593844
O_C_H_std,0.0012132691184755114
O_O_surface_area_sum,0.0012107699608823975
O_C_H_max,0.0012094828333610353
N_C_H_mean,0.0012088652863979981
O_S_volume_min,0.0012056358678195385
H_O_K_min,0.0012049136293840873
C_S_surface_area_mean,0.0012020620981152543
